Description,Class
Water Quality Testing Fee,Other
Heating Expense -in Year-End,Heating
Energy Supply Charge -,Electricity
Bulk Water Purchase -- Manufacturing Plant,Water
Solid Waste Management Fee -,Waste Disposal
Municipal Water Charge -for Year-End,Water
Monthly Water Usage -- R&D Center,Water
Energy Supply Charge -- Q3 Period,Electricity
Medical Waste Collection -in Asia Pacific,Waste Disposal
Monthly Power Usage -in R&D Center,Electricity
Raw Water Intake -in Q3 Period,Water
Water Utility Bill -in Distribution Center,Water
Power Consumption -- North America,Electricity
Electric Utility Bill -in Q3 Period,Electricity
Industrial Waste Pickup -- South America,Waste Disposal
Electricity Meter Reading -for R&D Center,Electricity
Monthly Water Usage -in Global HQ,Water
Heating Fuel Purchase -in Manufacturing Plant,Heating
Heating Expense -in North America,Heating
Lighting System Replacement,Other
Grid Power Purchase -,Electricity
Energy Supply Charge -,Electricity
Hazardous Waste Disposal -- European Operations,Waste Disposal
Potable Water Supply -in Manufacturing Plant,Water
Natural Gas Supply -,Heating
Medical Waste Collection -in Q3 Period,Waste Disposal
Bulk Water Purchase -for Year-End,Water
Gas Utility Bill -in European Operations,Heating
Bulk Water Purchase -for Monthey Facility,Water
Winter Heating Usage -,Heating
Heating Fuel Purchase -in Basel Site,Heating
Chemical Waste Disposal -in Asia Pacific,Waste Disposal
Fungicide Product Sales - North America,Other
Recycling Services -in Global HQ,Waste Disposal
Energy Efficiency Study,Other
Plumbing Fixture Repair,Other
Plumbing Fixture Repair,Other
Hazardous Waste Disposal -,Waste Disposal
Solid Waste Management Fee -- Year-End,Waste Disposal
Heating Fuel Purchase -,Heating
Gas Utility Bill -in Asia Pacific,Heating
Natural Gas Supply -for Global HQ,Heating
Chemical Waste Disposal -,Waste Disposal
Monthly Power Usage -in Distribution Center,Electricity
Heating Expense -,Heating
Energy Supply Charge -- European Operations,Electricity
Water Supply -in Distribution Center,Water
Fuel Oil Delivery -in Global HQ,Heating
Water Supply -- Year-End,Water
Bulk Water Purchase -in Monthey Facility,Water
Natural Gas Supply -for Monthey Facility,Heating
Electricity Supply -,Electricity
Electric Utility Bill -in North America,Electricity
Municipal Water Charge -for European Operations,Water
Seeds Product Sales - Latin America,Other
Winter Heating Usage -in R&D Center,Heating
Fuel Oil Delivery -,Heating
Monthly Power Usage -- European Operations,Electricity
Grid Power Purchase -in North America,Electricity
Electric Utility Bill -,Electricity
Water Consumption -,Water
Grid Power Purchase -for Distribution Center,Electricity
Fuel Oil Delivery -in Basel Site,Heating
Water System Cleaning & Descaling,Other
Water Supply -- Year-End,Water
Heating Fuel Purchase -in Q3 Period,Heating
Electricity Meter Reading -in Global HQ,Electricity
Non-Hazardous Waste Disposal -for South America,Waste Disposal
Raw Water Intake -- North America,Water
Cooling Tower Water Treatment Chemicals,Other
Bulk Water Purchase -for European Operations,Water
Fuel Oil Delivery -for European Operations,Heating
Water Utility Bill -for Q3 Period,Water
Grid Power Purchase -in Year-End,Electricity
Raw Water Intake -for North America,Water
Environmental Impact Assessment,Other
Energy Supply Charge -,Electricity
General Waste Collection -in North America,Waste Disposal
Monthly Power Usage -in Global HQ,Electricity
Drainage System Maintenance,Other
Municipal Water Charge -,Water
Raw Water Intake -for Year-End,Water
Water Utility Bill -in Year-End,Water
KWh Consumption -,Electricity
Energy Supply Charge -in Basel Site,Electricity
Gas Utility Bill -in South America,Heating
Steam Generation Gas -in Basel Site,Heating
Recycling Services -- R&D Center,Waste Disposal
Winter Heating Usage -for South America,Heating
Raw Water Intake -- European Operations,Water
Heating Fuel Purchase -in South America,Heating
Steam Generation Gas -in Q3 Period,Heating
Power Consumption -in R&D Center,Electricity
Insulation Material Purchase,Other
Grid Infrastructure Consulting Fee,Other
Energy Supply Charge -- Basel Site,Electricity
Municipal Water Charge -in Global HQ,Water
Medical Waste Collection -in North America,Waste Disposal
Hazardous Waste Disposal -in North America,Waste Disposal
KWh Consumption -,Electricity
Recycling Services -in Year-End,Waste Disposal
Grid Infrastructure Consulting Fee,Other
Winter Heating Usage -for R&D Center,Heating
Steam Generation Gas -in North America,Heating
Electric Utility Bill -- Asia Pacific,Electricity
Fuel Oil Delivery -- Global HQ,Heating
Natural Gas Supply -for South America,Heating
Electricity Meter Reading -- R&D Center,Electricity
Bulk Water Purchase -in Q3 Period,Water
Monthly Power Usage -- North America,Electricity
Medical Waste Collection -,Waste Disposal
Non-Hazardous Waste Disposal -in Monthey Facility,Waste Disposal
Grid Power Purchase -for R&D Center,Electricity
Recycling Program Audit,Other
Water Utility Bill -for Monthey Facility,Water
Electricity Supply -for South America,Electricity
Monthly Power Usage -for Asia Pacific,Electricity
Bulk Water Purchase -- Distribution Center,Water
Gas Utility Bill -for Asia Pacific,Heating
Municipal Water Charge -in South America,Water
Medical Waste Collection -- Asia Pacific,Waste Disposal
Waste Sorting Equipment Lease,Other
Gas Utility Bill -in Distribution Center,Heating
Electricity Meter Reading -,Electricity
Water Consumption -for South America,Water
KWh Consumption -in North America,Electricity
Incinerator Maintenance Fee,Other
Water Consumption -in Manufacturing Plant,Water
General Waste Collection -for Manufacturing Plant,Waste Disposal
Non-Hazardous Waste Disposal -- Manufacturing Plant,Waste Disposal
Propane Supply -,Heating
Heating Fuel Purchase -- South America,Heating
Chemical Waste Disposal -- Manufacturing Plant,Waste Disposal
Steam Generation Gas -for Q3 Period,Heating
Solid Waste Management Fee -in Monthey Facility,Waste Disposal
Electricity Supply -for Monthey Facility,Electricity
Water Supply -for Manufacturing Plant,Water
Recycling Services -- South America,Waste Disposal
Medical Waste Collection -- South America,Waste Disposal
Fuel Oil Delivery -,Heating
Emergency Generator Fuel,Other
Grid Power Purchase -for Monthey Facility,Electricity
Energy Supply Charge -for Year-End,Electricity
Hazardous Waste Disposal -for Basel Site,Waste Disposal
Non-Hazardous Waste Disposal -,Waste Disposal
Steam Generation Gas -,Heating
Potable Water Supply -,Water
Energy Supply Charge -for Manufacturing Plant,Electricity
Winter Heating Usage -,Heating
Emergency Generator Fuel,Other
Hazardous Waste Disposal -- Asia Pacific,Waste Disposal
Monthly Water Usage -in Distribution Center,Water
General Waste Collection -for R&D Center,Waste Disposal
Electricity Supply -in R&D Center,Electricity
Electricity Meter Reading -in Asia Pacific,Electricity
Fungicide Product Sales - North America,Other
Electricity Supply -in Year-End,Electricity
Energy Supply Charge -in Q3 Period,Electricity
Water Consumption -,Water
Power Consumption -,Electricity
Water Utility Bill -- Asia Pacific,Water
Hazardous Waste Disposal -,Waste Disposal
Waste Management Consulting Service,Other
Raw Water Intake -,Water
Industrial Waste Pickup -in Manufacturing Plant,Waste Disposal
Heating Expense -- Asia Pacific,Heating
Electrical System Maintenance Contract,Other
Propane Supply -,Heating
Energy Supply Charge -,Electricity
Winter Heating Usage -in South America,Heating
Heating Element Replacement,Other
Winter Heating Usage -in R&D Center,Heating
General Waste Collection -- R&D Center,Waste Disposal
Hazardous Waste Disposal -in Manufacturing Plant,Waste Disposal
Natural Gas Supply -,Heating
Steam Generation Gas -for North America,Heating
Water Consumption -,Water
Chemical Waste Disposal -in Year-End,Waste Disposal
Industrial Waste Pickup -- North America,Waste Disposal
Potable Water Supply -in Q3 Period,Water
KWh Consumption -- South America,Electricity
Raw Water Intake -in Q3 Period,Water
Electric Utility Bill -for Manufacturing Plant,Electricity
Heating Fuel Purchase -- European Operations,Heating
Winter Heating Usage -- Distribution Center,Heating
Grid Power Purchase -for European Operations,Electricity
Seeds Product Sales - Latin America,Other
Gas Utility Bill -- European Operations,Heating
Municipal Water Charge -for R&D Center,Water
Waste Management Consulting Service,Other
Fuel Oil Delivery -in Global HQ,Heating
Potable Water Supply -,Water
Monthly Water Usage -in Manufacturing Plant,Water
Medical Waste Collection -- Asia Pacific,Waste Disposal
Monthly Power Usage -- Asia Pacific,Electricity
Recycling Services -,Waste Disposal
Insurance Premium - General Liability,Other
Natural Gas Supply -,Heating
General Waste Collection -for Asia Pacific,Waste Disposal
General Waste Collection -- Monthey Facility,Waste Disposal
Fuel Oil Delivery -in South America,Heating
Water Consumption -,Water
Natural Gas Supply -for Manufacturing Plant,Heating
Solid Waste Management Fee -- Year-End,Waste Disposal
Municipal Water Charge -,Water
Water Utility Bill -for South America,Water
Water Consumption -- South America,Water
Electricity Meter Reading -,Electricity
Hazardous Waste Disposal -,Waste Disposal
Hazardous Waste Disposal -- Distribution Center,Waste Disposal
Power Consumption -,Electricity
Natural Gas Supply -for Global HQ,Heating
Grid Infrastructure Consulting Fee,Other
Waste Sorting Equipment Lease,Other
Heating Fuel Purchase -in Asia Pacific,Heating
Steam Generation Gas -for Basel Site,Heating
Recycling Services -for South America,Waste Disposal
Electrical System Maintenance Contract,Other
Raw Water Intake -- European Operations,Water
Propane Supply -,Heating
Raw Water Intake -for R&D Center,Water
Electricity Meter Reading -- North America,Electricity
Electricity Supply -in North America,Electricity
Bulk Water Purchase -for Q3 Period,Water
Solid Waste Management Fee -in Monthey Facility,Waste Disposal
Heating Expense -for Q3 Period,Heating
Fuel Oil Delivery -- Q3 Period,Heating
Utility Meter Calibration,Other
Hazardous Waste Disposal -in R&D Center,Waste Disposal
Heating Fuel Purchase -for European Operations,Heating
General Waste Collection -,Waste Disposal
Recycling Services -,Waste Disposal
Non-Hazardous Waste Disposal -- Year-End,Waste Disposal
Hazardous Waste Disposal -for Q3 Period,Waste Disposal
Energy Supply Charge -- North America,Electricity
Winter Heating Usage -,Heating
Monthly Power Usage -in Year-End,Electricity
Fuel Oil Delivery -in Monthey Facility,Heating
Industrial Waste Pickup -- South America,Waste Disposal
Water Utility Bill -for R&D Center,Water
Natural Gas Supply -for Distribution Center,Heating
Electric Utility Bill -in Manufacturing Plant,Electricity
Steam Generation Gas -in North America,Heating
Monthly Water Usage -- Q3 Period,Water
Gas Utility Bill -,Heating
Heating Expense -,Heating
General Waste Collection -- Monthey Facility,Waste Disposal
Municipal Water Charge -- North America,Water
Propane Supply -for Asia Pacific,Heating
Non-Hazardous Waste Disposal -for Manufacturing Plant,Waste Disposal
General Waste Collection -,Waste Disposal
Power Consumption -for Global HQ,Electricity
Heating Fuel Purchase -for Q3 Period,Heating
Electricity Supply -- Distribution Center,Electricity
Municipal Water Charge -- R&D Center,Water
Incinerator Maintenance Fee,Other
Heating Fuel Purchase -for Monthey Facility,Heating
Power Quality Audit Service,Other
Medical Waste Collection -- Basel Site,Waste Disposal
Cooling Tower Water Treatment Chemicals,Other
Emergency Generator Fuel,Other
Water Utility Bill -- R&D Center,Water
Electricity Supply -- Q3 Period,Electricity
Winter Heating Usage -in Basel Site,Heating
Heating Fuel Purchase -in Year-End,Heating
Hazardous Waste Disposal -,Waste Disposal
Propane Supply -for Year-End,Heating
Electricity Meter Reading -- Distribution Center,Electricity
Non-Hazardous Waste Disposal -- Global HQ,Waste Disposal
Heating Expense -in Monthey Facility,Heating
Raw Water Intake -- Q3 Period,Water
Insulation Material Purchase,Other
Bulk Water Purchase -,Water
Medical Waste Collection -for Manufacturing Plant,Waste Disposal
Recycling Services -in Basel Site,Waste Disposal
Hazardous Waste Disposal -- European Operations,Waste Disposal
Monthly Water Usage -for Asia Pacific,Water
Winter Heating Usage -in Distribution Center,Heating
Recycling Program Audit,Other
Incinerator Maintenance Fee,Other
Solid Waste Management Fee -for Distribution Center,Waste Disposal
Energy Supply Charge -- North America,Electricity
IT System Upgrade - Software Licenses,Other
Bulk Water Purchase -for Year-End,Water
Heating Expense -,Heating
Bulk Water Purchase -,Water
Electricity Supply -,Electricity
Steam Generation Gas -,Heating
Medical Waste Collection -for North America,Waste Disposal
Bulk Water Purchase -in European Operations,Water
Electricity Supply -for Manufacturing Plant,Electricity
Energy Supply Charge -in Distribution Center,Electricity
Medical Waste Collection -for Manufacturing Plant,Waste Disposal
Medical Waste Collection -- Asia Pacific,Waste Disposal
Electric Utility Bill -for South America,Electricity
Grid Power Purchase -- Basel Site,Electricity
Bulk Water Purchase -,Water
Non-Hazardous Waste Disposal -in Distribution Center,Waste Disposal
Power Consumption -- R&D Center,Electricity
Municipal Water Charge -,Water
Water Supply -- Monthey Facility,Water
Heat Exchanger Cleaning,Other
General Waste Collection -in Distribution Center,Waste Disposal
Heating Expense -in North America,Heating
KWh Consumption -- North America,Electricity
Water Consumption -in Basel Site,Water
Insurance Premium - General Liability,Other
Water Utility Bill -in Q3 Period,Water
Recycling Services -,Waste Disposal
Fuel Oil Delivery -in South America,Heating
Electricity Supply -in European Operations,Electricity
Water Supply -in Year-End,Water
Monthly Power Usage -,Electricity
Winter Heating Usage -for Distribution Center,Heating
Gas Utility Bill -for European Operations,Heating
Winter Heating Usage -- Distribution Center,Heating
Chemical Waste Disposal -- Asia Pacific,Waste Disposal
